<DATE>;<CLOSE>
10119;0.0124450
20119;0.0127490
30119;0.0127340
40119;0.0129070
50119;0.0129270
70119;0.0130390
80119;0.0130210
90119;0.0129290
100119;0.0129660
110119;0.0130000
120119;0.0129970
130119;0.0130160
140119;0.0129710
150119;0.0130360
160119;0.0131870
170119;0.0131910
180119;0.0132400
190119;0.0132470
200119;0.0132620
210119;0.0132040
220119;0.0131890
230119;0.0132540
240119;0.0134100
250119;0.0132340
260119;0.0132470
270119;0.0132500
280119;0.0131630
290119;0.0132020
300119;0.0132680
310119;0.0133250
10219;0.0132880
20219;0.0132920
30219;0.0132940
40219;0.0132930
50219;0.0133150
60219;0.0133130
70219;0.0133340
80219;0.0133910
90219;0.0134100
100219;0.0134490
110219;0.0134400
120219;0.0133610
130219;0.0133040
140219;0.0132440
150219;0.0133090
160219;0.0133100
170219;0.0133400
180219;0.0133080
190219;0.0133610
200219;0.0133660
210219;0.0134130
220219;0.0134600
230219;0.0134380
240219;0.0134470
250219;0.0133940
260219;0.0133160
270219;0.0133310
280219;0.0132950
10319;0.0133120
20319;0.0133030
30319;0.0132850
40319;0.0133570
50319;0.0134060
60319;0.0133600
70319;0.0134550
80319;0.0133810
90319;0.0133770
100319;0.0133570
110319;0.0134520
120319;0.0134820
130319;0.0134470
140319;0.0134720
150319;0.0135850
160319;0.0135640
170319;0.0135910
180319;0.0136630
190319;0.0136440
200319;0.0136910
210319;0.0137220
220319;0.0136480
230319;0.0136280
240319;0.0136700
250319;0.0137700
260319;0.0137440
270319;0.0136730
280319;0.0136680
290319;0.0135200
300319;0.0135190
310319;0.0134980
10419;0.0136390
20419;0.0136240
30419;0.0136060
40419;0.0135860
50419;0.0136070
60419;0.0136000
70419;0.0135620
80419;0.0136470
90419;0.0136270
100419;0.0137620
110419;0.0137140
120419;0.0137160
130419;0.0136880
140419;0.0136660
150419;0.0137160
160419;0.0137910
170419;0.0138300
180419;0.0139020
190419;0.0138540
200419;0.0138390
210419;0.0138520
220419;0.0138860
230419;0.0139400
240419;0.0138840
250419;0.0138510
260419;0.0137880
270419;0.0137810
280419;0.0137900
290419;0.0138290
300419;0.0137560
10519;0.0137360
20519;0.0136440
30519;0.0136770
40519;0.0136600
50519;0.0136760
60519;0.0136480
70519;0.0136260
80519;0.0136930
90519;0.0136330
100519;0.0136300
110519;0.0136350
120519;0.0136260
130519;0.0135780
140519;0.0137090
150519;0.0137670
160519;0.0138090
170519;0.0138000
180519;0.0137760
190519;0.0137910
200519;0.0138380
210519;0.0138660
220519;0.0138890
230519;0.0137470
240519;0.0138050
250519;0.0138000
260519;0.0138050
270519;0.0138390
280519;0.0138060
290519;0.0137930
300519;0.0137550
310519;0.0136410
10619;0.0135740
20619;0.0136190
